"puntos_significativos";"coordenadas";"lat";"long";"ubicacion"
"CRANE";"252550S-0534856W";-25,4305555555556;-53,8155555555556;"SID IGU"
"DABLI";"543000S-0674004W";-54,5;-67,6677777777778;"T108-T704-UT704-SID USU-STAR USU-TMA USU-TMA GRA"
"DABOT";"322503S-0603859W";-32,4175;-60,6497222222222;"W20-SID ROS-STAR ROS-TMA ROS-TMA PAR"
"DABUL";"314652S-0682444W";-31,7811111111111;-68,4122222222222;"SID JUA"
"DADEB";"302256S-0652859W";-30,3822222222222;-65,4830555555556;"W16-UW16-Z121 "
"DADMI";"284955S-0623341W";-28,8319444444444;-62,5613888888889;"UT672-UT677 "
"DADOB";"370349S-0590618W";-37,0636111111111;-59,105;"IAC DIL"
"DAGIG";"275057S-0642134W";-27,8491666666667;-64,3594444444444;"IAC SDE"
"DAGOK";"472818S-0650801W";-47,4716666666667;-65,1336111111111;"UT108-W50-UW 50"
"DAGOL";"254458S-0545318W";-25,7494444444444;-54,8883333333333;"SID IGU"
"DAGRA";"273805S-0562729W";-27,6347222222222;-56,4580555555556;"W14-TMA POS"
"DAKAX";"444749S-0704525W";-44,7969444444444;-70,7569444444444;"T658-UT658-UZ116-Z116"
"DAKSA";"410151S-0664736W";-41,0308333333333;-66,7933333333333;"UT106-UT657"
"DALAB";"322000S-0584015W";-32,3333333333333;-58,6708333333333;"A428-Z110-UL793-UM534-UZ103"
"DALDU";"485225S-0714452W";-48,8736111111111;-71,7477777777778;"T659 UT659 UT110"
"DALMI";"374428S-0574359W";-37,7411111111111;-57,7330555555556;"IAC MDP-STAR MDP"
"DAMAP";"294840S-0670640W";-29,8111111111111;-67,1111111111111;"W3-Z119"
"DAMBA";"392655S-0684908W";-39,4486111111111;-68,8188888888889;"W26- STAR NEU"
"DAMIN";"384721S-0631950W";-38,7891666666667;-63,3305555555556;"W32-UW32-SID BCA-STAR BCA- TMA BCA"
"DAMIS";"285138S-0585657W";-28,8605555555556;-58,9491666666667;"A428-W14-UW14-UL793-Z110- STAR CRS SIS"
"DANRU";"292540S-0602419W";-29,4277777777778;-60,4052777777778;"UN775-UW14"
"DAPKI";"384410S-0622506W";-38,7361111111111;-62,4183333333333;"IAC BCA STAR BCA"
"DAPSU";"364543S-0641907W";-36,7619444444444;-64,3186111111111;"IAC OSA"
"DARKA";"351758S-0561502W";-35,2994444444444;-56,2505555555556;"A310-UM792"
"DEVEB";"311000S-0635115W";-31,1666666666667;-63,8541666666667;"IAC CBA"
"DEVIS";"510319S-0702950W";-51,0552777777778;-70,4972222222222;"W52-UW52-SID ECA GAL-STAR ECA GAL-TMA GAL"
"DEXAL";"392357S-0675213W";-39,3991666666667;-67,8702777777778;"UT106"
"DIDOM";"251754S-0531106W";-25,2983333333333;-53,185;"STAR IGU"
"DIGER";"345548S-0685023W";-34,93;-68,8397222222222;"W23-SID SRA-STAR MLG-TMA SRA"
"DIGET";"270106S-0584558W";-27,0183333333333;-58,7661111111111;"SID SIS CRS STAR SIS CRS- A428-UM529-TMA SIS-UZ124"
"DIGIS";"515143S-0622804W";-51,8619444444444;-62,4677777777778;"W54-UW54"
"DIKIS";"350852S-0690739W";-35,1477777777778;-69,1275;"W23-STAR MLG-TMA MLG"
"DIKOR";"281539S-0640936W";-28,2608333333333;-64,16;"W70-UL550-SID SDE-TMA SDE"
"DIKOV";"332115S-0641504W";-33,3541666666667;-64,2511111111111;"IAC TRC"
"DILAL";"260802S-0654519W";-26,1338888888889;-65,7552777777778;"UL550-TMA TUC-STAR TUC"
"DILIL";"424931S-0653753W";-42,8252777777778;-65,6313888888889;"SID DRY"
"DILIX";"315002S-0682456W";-31,8338888888889;-68,4155555555556;"IAC JUA-SID JUA-STAR JUA"
"DILOG";"392015S-0681600W";-39,3375;-68,2666666666667;"UZ109-Z109"
"DODBO";"311442S-0681748W";-31,245;-68,2966666666667;"IAC JUA-STAR JUA"
"DOGLA";"411132S-0704808W";-41,1922222222222;-70,8022222222222;"IAC BAR-STAR BAR"
"DOKBA";"263416S-0544856W";-26,5711111111111;-54,8155555555556;"B687-UP779-UL324-STAR IGU- UM657-UT667"
"DOKMU";"330047S-0604835W";-33,0130555555556;-60,8097222222222;"IAC ROS"
"DOLMU";"252850S-0543807W";-25,4805555555556;-54,6352777777778;"STAR IGU"
"DONBO";"480214S-0661317W";-48,0372222222222;-66,2213888888889;"UT700"
"DONED";"393839S-0603741W";-39,6441666666667;-60,6280555555556;"UW33-UZ117"
"DONKA";"302433S-0642336W";-30,4091666666667;-64,3933333333333;"UN525-W5-UW5-SID CBA-STAR CBA-TMA CBA"
"DOPLU";"245517S-0604720W";-24,9213888888889;-60,7888888888889;"SID SIS CRS STAR SIS CRS- UM789-UM784"
"DOPRI";"311150S-0620432W";-31,1972222222222;-62,0755555555556;"W69-UL550-UM418"
"DORSI";"431525S-0703900W";-43,2569444444444;-70,65;"W50"
"DORVO";"344258S-0573102W";-34,7161111111111;-57,5172222222222;"UM424-UN857-A305-SID AER EZE-TMA BAIRES"
"DOSLO";"331736S-0675052W";-33,2933333333333;-67,8477777777778;"W71-SID DOZ-STAR DOZ-TMA DOZ"
"DOTRI";"383224S-0610028W";-38,54;-61,0077777777778;"W32-UW32-SID BCA-STAR BCA- TMA BCA"
"DRAKE";"591828S-0633541W";-59,3077777777778;-63,5947222222222;"W100-UW100"
"EDLUM";"253847S-0655938W";-25,6463888888889;-65,9938888888889;"UL322- TMA SAL"
"EDMEL";"330315S-0604908W";-33,0541666666667;-60,8188888888889;"IAC ROS"
