"puntos_significativos";"coordenadas";"lat";"long";"ubicacion"
"MUMUK";"264521S-0664312W";-26,7558333333333;-66,72;"UL322-UM543"
"MUNAV";"424833S-0651242W";-42,8091666666667;-65,2116666666667;"IAC DRY-SID DRY"
"MUNER";"520000S-0711836W";-52;-71,31;"UN674-N674-B432-STAR ECA- SID ECA"
"MUNES";"401958S-0100000W";-40,3327777777778;-10;"UL211F"
"MUNON";"243346S-0645153W";-24,5627777777778;-64,8647222222222;"STAR JUJ-IAC JUJ"
"MUPAD";"512218S-0691657W";-51,3716666666667;-69,2825;"SID GAL"
"MUPER";"342733S-0583540W";-34,4591666666667;-58,5944444444444;"IAC AER"
"MUPIS";"322418S-0604730W";-32,405;-60,7916666666667;"W21-SID ROS-STAR ROS-TMA ROS-TMA PAR"
"NAIDE";"273648S-0553516W";-27,6133333333333;-55,5877777777778;"UT667"
"NAJAL";"430403S-0651222W";-43,0675;-65,2061111111111;"SID TRE"
"NAXET";"233328S-0652804W";-23,5577777777778;-65,4677777777778;"UM776-UN525-ANTIGRANIZO JUJ SUP"
"NAXEX";"312167S-0681901W";-31,3686111111111;-68,3169444444444;"IAC JUA-STAR JUA"
"NEBEG";"334800S-0695400W";-33,8;-69,9;"A307-UL531-STAR DOZ-TMA DOZ"
"NEDET";"383128S-0621344W";-38,5244444444444;-62,2288888888889;"IAC BCA"
"NEGEX";"261217S-0544637W";-26,2047222222222;-54,7769444444444;"SID IGU-STAR IGU"
"NEGOS";"461443S-0714037W";-46,2452777777778;-71,6769444444444;"G550"
"NELEK";"344449S-0583230W";-34,7469444444444;-58,5416666666667;"IAC PAL"
"NEMEN";"385653S-0682319W";-38,9480555555556;-68,3886111111111;"IAC NEU"
"NEPIS";"343416S-0593602W";-34,5711111111111;-59,6005555555556;"W13-SID AER-TMA BAIRES"
"NESRI";"275206S-0612623W";-27,8683333333333;-61,4397222222222;"UM529 LIM FIR CBA SIS"
"NEVLO";"345801S-0582011W";-34,9669444444444;-58,3363888888889;"IAC EZE"
"NIBGO";"324238S-0605029W";-32,7105555555556;-60,8413888888889;"IAC ROS-SID ROS-STAR ROS"
"NIDBA";"384249S-0673433W";-38,7136111111111;-67,5758333333333;"T655-SID NEU-TMA NEU"
"NIGBU";"404210S-0675931W";-40,7027777777778;-67,9919444444444;"T105-UT105"
"NILVU";"385254S-0621853W";-38,8816666666667;-62,3147222222222;"IAC BCA-STAR BCA"
"NINSI";"343055S-0621436W";-34,5152777777778;-62,2433333333333;"UT705-UZ113"
"NINVO";"455842S-0671220W";-45,9783333333333;-67,2055555555556;"STAR CRV-SID CRV"
"NIPMU";"285413S-0631635W";-28,9036111111111;-63,2763888888889;"UM529 LIMITE SECTOR CBA SUR - CBA NORTE"
"NIPTO";"312834S-0682509W";-31,4761111111111;-68,4191666666667;"IAC JUA"
"NIRSU";"375630S-0571927W";-37,9416666666667;-57,3241666666667;"IAC MDP STAR MDP"
"NIRTA";"323932S-0681359W";-32,6588888888889;-68,2330555555556;"W44-UW44-A307-UL531"
"NITLO";"414905S-0692219W";-41,8180555555556;-69,3719444444444;"W38-W41-UW38-UW41"
"NUEXE";"423713S-0644809W";-42,6202777777778;-64,8025;"IAC DRY"
"NUXAB";"311657S-0635611W";-31,2825;-63,9363888888889;"IAC CBA"
"NUXAS";"271614S-0584405W";-27,2705555555556;-58,7347222222222;"IAC CRS"
"NUXAX";"505853S-0691221W";-50,9813888888889;-69,2058333333333;"STAR GAL"
"NUXIM";"342646S-0613234W";-34,4461111111111;-61,5427777777778;"W9-UL405"
"OBLET";"255237S-0542837W";-25,8769444444444;-54,4769444444444;"IAC IGU"
"OGLER";"365919S-0635304W";-36,9886111111111;-63,8844444444444;"W67-SID OSA-TMA OSA"
"OGNAX";"242309S-0645337W";-24,3858333333333;-64,8936111111111;"IAC JUJ"
"OGNEB";"384616S-0621649W";-38,7711111111111;-62,2802777777778;"IAC BCA "
"OGNOP";"311903S-0675456W";-31,3175;-67,9155555555556;"UZ108 UM529 "
"OGSAN";"340934S-0615535W";-34,1594444444444;-61,9263888888889;"UT684-UT705 "
"OGTEL";"293713S-0575817W";-29,6202777777778;-57,9713888888889;"UT682-UZ120"
"OGTUR";"492831S-0715633W";-49,4752777777778;-71,9425;"G550 T659 UT659"
"OPKAN";"281947S-0592204W";-28,3297222222222;-59,3677777777778;"W20-UW20-SID CRS SIS-STAR CRS SIS-TMA SIS"
"OPKOT";"384041S-0615257W";-38,6780555555556;-61,8825;"IAC BCA STAR BCA"
"OPLAS";"423358S-0703441W";-42,5661111111111;-70,5780555555556;"W41-STAR ESQ-TMA ESQ"
"OPLET";"314749S-0682351W";-31,7969444444444;-68,3975;"IAC JUA-STAR JUA"
"OPLID";"274100S-0590234W";-27,6833333333333;-59,0427777777778;"IAC SIS STAR SIS "
"OPLOM";"345036S-0582505W";-34,8433333333333;-58,4180555555556;"IAC EZE"
"OPLUX";"332309S-0662218W";-33,3858333333333;-66,3716666666667;"SID UIS "
"OPNIN";"301337S-0600932W";-30,2269444444444;-60,1588888888889;"UN775"
"OPREN";"355828S-0692636W";-35,9744444444444;-69,4433333333333;"Z107-TMA MLG"
"OPRER";"372544S-0571848W";-37,4288888888889;-57,3133333333333;"SID MDP-STAR MDP"
"OPRIL";"341702S-0675452W";-34,2838888888889;-67,9144444444445;"W23-SID SRA-TMA SRA"
"OPROS";"423823S-0702944W";-42,6397222222222;-70,4955555555556;"T657"
"OPSEV";"383716S-0621135W";-38,6211111111111;-62,1930555555556;"IAC BCA"
"OPSIR";"440712S-0652604W";-44,12;-65,4344444444445;"T693-STAR TRE-SID TRE DRY- TMA TRE"
"OPSIS";"330028S-0671134W";-33,0077777777778;-67,1927777777778;"UT670-UL531"
"OPSUL";"354103S-0692537W";-35,6841666666667;-69,4269444444444;"IAC MLG-STAR MLG"
"OPTES";"264450S-0602910W";-26,7472222222222;-60,4861111111111;"Z118"
"OPTIR";"304654S-0622242W";-30,7816666666667;-62,3783333333333;"UM400-UL550-W25"
"OPTUL";"340916S-0684128W";-34,1544444444444;-68,6911111111111;"SID SRA-W37"
"OPUPO";"322159S-0593745W";-32,3663888888889;-59,6291666666667;"B555-TMA PAR"
"OPUVI";"334841S-0611829W";-33,8113888888889;-61,3080555555556;"W10-UW10"
"ORABA";"312920S-0665313W";-31,4888888888889;-66,8869444444445;"W24-UW24"
"ORABO";"504238S-0693218W";-50,7105555555556;-69,5383333333333;"T658-UT658"
"ORAMU";"421630S-0650553W";-42,275;-65,0980555555555;"T661-STAR TRE-SID TRE DRY- TMA TRE"
"ORAXO";"250347S-0652147W";-25,0630555555556;-65,3630555555555;"STAR SAL-IAC SAL"
"ORBAK";"243754S-0645733W";-24,6316666666667;-64,9591666666667;"IAC JUJ-STAR JUJ"
"ORBAL";"455354S-0705216W";-45,8983333333333;-70,8711111111111;"UZ131-W58-UZ116-Z116"
"ORERA";"405826S-0702651W";-40,9738888888889;-70,4475;"W34-UW34-T654-UT654-SID BAR- STAR BAR-TMA BAR"
"ORIKA";"461259S-0655204W";-46,2163888888889;-65,8677777777778;"UT109-UT700"
"ORODA";"513540S-0690115W";-51,5944444444444;-69,0208333333333;"IAC GAL"
"OROKO";"215200S-0660760W";-21,8666666666667;-66,1333333333333;"SID JUJ-STAR JUJ"
"OROXI";"450821S-0675150W";-45,1391666666667;-67,8638888888889;"STAR CRV-SID CRV"
"ORUDO";"472904S-0675356W";-47,4844444444444;-67,8988888888889;"W49"
"ORUGA";"271103S-0554808W";-27,1841666666667;-55,8022222222222;"N785-B688-TMA POS"
"ORUXO";"271447S-0590521W";-27,2463888888889;-59,0891666666667;"IAC SIS"
"OSARI";"331822S-0660636W";-33,3061111111111;-66,11;"SID UIS"
"OSEBO";"243043S-0650039W";-24,5119444444444;-65,0108333333333;"SID JUJ"
"OSEKO";"382933S-0675350W";-38,4925;-67,8972222222222;"W65-UZ114-UZ127-STAR NEU- TMA NEU"
"OSEXI";"380846S-0573528W";-38,1461111111111;-57,5911111111111;"SID MDP"
"OSIDO";"330133S-0641133W";-33,0258333333333;-64,1925;"IAC TRC"
"OSILI";"283758S-0644603W";-28,6327777777778;-64,7675;"UN525-UW5"
"OSOVI";"383323S-0621301W";-38,5563888888889;-62,2169444444444;"IAC BCA"
"OSUDA";"305458S-0633403W";-30,9161111111111;-63,5675;"UL531-UZ102"
"OTADO";"402417S-0671304W";-40,4047222222222;-67,2177777777778;"UT106-UW41"
"OTAGI";"530437S-0581721W";-53,0769444444445;-58,2891666666667;"UT103"
"PABAL";"423630S-0720618W";-42,6083333333333;-72,105;"L775"
"PABAS";"345918S-0613453W";-34,9883333333333;-61,5813888888889;"UM424-M424"
"PABEN";"304156S-0612923W";-30,6988888888889;-61,4897222222222;"UT652-UL404"
"PABEV";"361934S-0621322W";-36,3261111111111;-62,2227777777778;"T655-W61"
"PABOP";"423843S-0645356W";-42,6452777777778;-64,8988888888889;"SID DRY-SID TRE-IAC DRY"
"PADAS";"321902S-0582145W";-32,3172222222222;-58,3625;"N785-UN785"
"PADIM";"450007S-0641654W";-45,0019444444444;-64,2816666666667;"UT108-UZ117"
"PADIT";"344744S-0623127W";-34,7955555555556;-62,5241666666667;"UW15-UT705"
"PADOG";"331331S-0634426W";-33,2252777777778;-63,7405555555556;"UT700-UW10"
"PAGAD";"362648S-0550011W";-36,4466666666667;-55,0030555555556;"UL211F-UL211"
"PAGAR";"312636S-0635039W";-31,4433333333333;-63,8441666666667;"W5-UW5-IAC CBA"
"PAGID";"502426S-0723024W";-50,4072222222222;-72,5066666666667;"SID ECA"
"PAGON";"335516S-0584314W";-33,9211111111111;-58,7205555555556;"W11-UZ129-STAR AER EZE-TMA BAIRES"
"PAKAL";"422225S-0674726W";-42,3736111111111;-67,7905555555556;"W38-UW38-T105-UT105"
"PALIX";"520400S-0694800W";-52,0666666666667;-69,8;"A570-UP664-TMA GAL"
"PAMAK";"312324S-0651614W";-31,39;-65,2705555555556;"W24-UW24-UZ128-SID CBA- STAR CBA-TMA CBA"
"PAMAL";"314639S-0664243W";-31,7775;-66,7119444444444;"W66-UT653-UZ128"
"PAMEX";"285218S-0563239W";-28,8716666666667;-56,5441666666667;"UT667-UM400"
"PANOT";"270025S-0595741W";-27,0069444444444;-59,9613888888889;"Z118-SID CRS SIS-STAR CRS SIS-TMA SIS"
"PANUM";"431625S-0652954W";-43,2736111111111;-65,4983333333333;"IAC TRE"
"PANUX";"241820S-0650909W";-24,3055555555556;-65,1525;"IAC JUJ"
"PAPAP";"345139S-0581909W";-34,8608333333333;-58,3191666666667;"IAC EZE"
"PAPIR";"330701S-0674508W";-33,1169444444444;-67,7522222222222;"W9-SID DOZ-STAR DOZ-UL405- TMA DOZ"
"PAPIX";"342458S-0580002W";-34,4161111111111;-58,0005555555556;"A314-UN741-SID AER EZE-STAR AER PAL EZE-TMA BAIRES"
"PEDRO";"334204S-0594001W";-33,7011111111111;-59,6669444444444;"W5-W6-UW5"
"PILCO";"222416S-0622505W";-22,4044444444444;-62,4180555555556;"UM784-UN775"
"PONPI";"254522S-0651855W";-25,7561111111111;-65,3152777777778;"W5-UW5-UN525-UT681-SID SAL- STAR TUC-TMA TUC-TMA SAL"
"PONRO";"502111S-0714152W";-50,3530555555556;-71,6977777777778;"STAR ECA-IAC ECA"
"PONVA";"382440S-0655711W";-38,4111111111111;-65,9530555555556;"T669-UT669"
"POPLU";"335104S-0644801W";-33,8511111111111;-64,8002777777778;"UZ114-UL405"
"POPRO";"431725S-0651411W";-43,2902777777778;-65,2363888888889;"STAR TRE"
"PORKA";"292719S-0631957W";-29,4552777777778;-63,3325;"UL550-UM529"
"PORPA";"391027S-0684350W";-39,1741666666667;-68,7305555555556;"W32-STAR NEU-TMA NEU"
"POSMO";"270208S-0650143W";-27,0355555555556;-65,0286111111111;"IAC TUC-STAR TUC"
"POSRA";"345453S-0582949W";-34,9147222222222;-58,4969444444444;"IAC EZE"
"POSTI";"385040S-0591008W";-38,8444444444444;-59,1688888888889;"UW33-UT103"
"POTMA";"405413S-0631758W";-40,9036111111111;-63,2994444444444;"IAC VIE"
"POTRO";"400310S-0644533W";-40,0527777777778;-64,7591666666667;"UT700-UT657-UT110-T657-T661"
"POTSI";"314459S-0681832W";-31,7497222222222;-68,3088888888889;"IAC JUA-STAR JUA"
"POVNA";"295115S-0650224W";-29,8541666666667;-65,04;"UW15 UM543 UM529"
"PUBAX";"424657S-0652203W";-42,7825;-65,3675;"IAC DRY"
"PUBER";"273151S-0643911W";-27,5308333333333;-64,6530555555556;"UM799-UL550-STAR TUC-W70- UT681-SID SDE TUC"
"PUBLO";"434814S-0673713W";-43,8038888888889;-67,6202777777778;"UT110-UT105-STAR CRV-SID CRV -T105"
"PUBTI";"241543S-0651047W";-24,2619444444444;-65,1797222222222;"IAC JUJ"
"PUBUM";"221430S-0640336W";-22,2416666666667;-64,06;"UL417-UZ112"
"PUDBA";"224815S-0652731W";-22,8041666666667;-65,4586111111111;"UN525"
"PUGEK";"273629S-0641300W";-27,6080555555556;-64,2166666666667;"IAC SDE"
"PUGLI";"402924S-0603308W";-40,49;-60,5522222222222;"UT662"
"PUKIB";"411441S-0705317W";-41,2447222222222;-70,8880555555556;"IAC BAR"
"PUKIK";"273758S-0584038W";-27,6327777777778;-58,6772222222222;"STAR CRS IAC CRS"
"PUKOX";"534555S-0671849W";-53,7652777777778;-67,3136111111111;"IAC GRA"
"PULAS";"375815S-0612906W";-37,9708333333333;-61,485;"W22-UW22-SID BCA-TMA BCA"
"PULEN";"291448S-0573654W";-29,2466666666667;-57,615;"UM400-UT682-UP526"
"PULGA";"335754S-0612348W";-33,965;-61,3966666666667;"UT670"
"PULIG";"385657S-0680203W";-38,9491666666667;-68,0341666666667;"IAC NEU"
"PULKA";"392858S-0644037W";-39,4827777777778;-64,6769444444444;"W34-T661"
"PULNA";"401714S-0610039W";-40,2872222222222;-61,0108333333333;"UZ117"
"PULOV";"302145S-0624059W";-30,3625;-62,6830555555556;"UL531-UL550"
"PULPA";"365943S-0574051W";-36,9952777777778;-57,6808333333333;"W31-UW31-W60-SID MDP-TMA MDP"
"PULRA";"274241S-0591006W";-27,7113888888889;-59,1683333333333;"IAC SIS STAR CRS SIS"
"PULUX";"271910S-0585229W";-27,3194444444444;-58,8747222222222;"IAC SIS STAR CRS SIS"
"PUMTO";"375929S-0571415W";-37,9913888888889;-57,2375;"IAC MDP"
"PUMUG";"430408S-0650501W";-43,0688888888889;-65,0836111111111;"IAC TRE"
"PUMVO";"382835S-0621448W";-38,4763888888889;-62,2466666666667;"IAC BCA"
"PUNBU";"254138S-0544435W";-25,6938888888889;-54,7430555555556;"IAC IGU-STAR IGU"
"PUNGI";"510112S-0705703W";-51,02;-70,9508333333333;"SID ECA"
"PUNGU";"292626S-0641555W";-29,4405555555556;-64,2652777777778;"UW6 UZ112 UM529"
"PUNOL";"410822S-0702452W";-41,1394444444444;-70,4144444444445;"W33-UW33-SID BAR-STAR BAR- TMA BAR"
"PUNOX";"375357S-0575141W";-37,8991666666667;-57,8613888888889;"IAC MDP-STAR MDP"
"PUPAT";"310804S-0640651W";-31,1344444444444;-64,1141666666667;"IAC CBA"
"PUPSI";"271557S-0621751W";-27,2658333333333;-62,2975;"UL417"
"QUEZA";"324958S-0684734W";-32,8327777777778;-68,7927777777778;"SID DOZ"
"QUILI";"251729S-0622514W";-25,2913888888889;-62,4205555555556;"UL404-UM799"
"RAFRO";"284608S-0654737W";-28,7688888888889;-65,7936111111111;"IAC CAT"
"RAXEM";"430830S-0654749W";-43,1416666666667;-65,7969444444444;"SID TRE"
"RAXIV";"362550S-0640753W";-36,4305555555556;-64,1313888888889;"IAC OSA"
"RAXOB";"311322S-0641235W";-31,2227777777778;-64,2097222222222;"IAC CBA"
"RAXOS";"610002S-0571345W";-61,0005555555556;-57,2291666666667;"UT103"
"RAXUR";"334335S-0630106W";-33,7263888888889;-63,0183333333333;"UT670-UT684"
"REDET";"534207S-0680303W";-53,7019444444445;-68,0508333333333;"IAC GRA"
"REGEG";"245438S-0653351W";-24,9105555555556;-65,5641666666667;"IAC SAL"
"REGUD";"330316S-0605623W";-33,0544444444444;-60,9397222222222;"IAC ROS STAR ROS"
"REKUL";"365500S-0540000W";-36,9166666666667;-54;"UL211F"
"RENEN";"545214S-0680126W";-54,8705555555556;-68,0238888888889;"IAC USU"
"RENUK";"311138S-0640341W";-31,1938888888889;-64,0613888888889;"IAC CBA"
"REPAM";"272545S-0573330W";-27,4291666666667;-57,5583333333333;"P526-B687-UP779-UZ103-UP526"
"REPEV";"311105S-0691848W";-31,1847222222222;-69,3133333333333;"UL416-UM799"
"REPUM";"310149S-0621151W";-31,0302777777778;-62,1975;"UT652-UL550"
"RIOKA";"303546S-0581837W";-30,5961111111111;-58,3102777777778;"UZ103"
"RIQUE";"313026S-0633954W";-31,5072222222222;-63,665;"IAC CBA STAR CBA"
"RIXUD";"244729S-0651355W";-24,7913888888889;-65,2319444444445;"IAC SAL"
"ROCAR";"254557S-0542418W";-25,7658333333333;-54,405;"IAC IGU"
"RODOV";"305004S-0574817W";-30,8344444444444;-57,8047222222222;"UM418"
"ROGAS";"381340S-0580511W";-38,2277777777778;-58,0863888888889;"W33-SID MDP-STAR MDP-TMA MDP"
"ROGEL";"464438S-0713726W";-46,7438888888889;-71,6238888888889;"G550-UL670"
"ROGIP";"430333S-0660409W";-43,0591666666667;-66,0691666666667;"SID DRY"
"ROGOD";"323147S-0682119W";-32,5297222222222;-68,3552777777778;"UZ108-UZ105"
"ROGUB";"332820S-0662837W";-33,4722222222222;-66,4769444444444;"IAC UIS-STAR UIS"
"ROKAB";"431144S-0653219W";-43,1955555555556;-65,5386111111111;"STAR TRE-IAC TRE"
"ROKAT";"270702S-0650929W";-27,1172222222222;-65,1580555555556;"IAC TUC-STAR TUC"
"ROKER";"315311S-0613337W";-31,8863888888889;-61,5602777777778;"UL550-STAR ROS"
"ROLIM";"283528S-0675715W";-28,5911111111111;-67,9541666666667;"UL322-UT691"
"ROLOX";"512102S-0685600W";-51,3505555555556;-68,9333333333333;"STAR GAL"
"ROMAX";"445916S-0664156W";-44,9877777777778;-66,6988888888889;"W18-UP664"
"ROMIV";"544005S-0683638W";-54,6680555555556;-68,6105555555555;"UL670-G550-SID USU"
"ROMIX";"285237S-0660015W";-28,8769444444444;-66,0041666666667;"STAR CAT"
"ROMUR";"303406S-0614012W";-30,5683333333333;-61,67;"UM400-UT672"
"ROPIS";"364430S-0565730W";-36,7416666666667;-56,9583333333333;"A310-UM792-SID MDP-STAR MDP-TMA MDP"
"ROPON";"385625S-0673043W";-38,9402777777778;-67,5119444444444;"W32-UW32-UT669-T669-SID NEU- STAR NEU-TMA NEU"
"ROREX";"324345S-0683739W";-32,7291666666667;-68,6275;"SID DOZ"
"SAKSA";"385716S-0684744W";-38,9544444444444;-68,7955555555556;"B556-STAR NEU-TMA NEU"
"SALBO";"323045S-0674612W";-32,5125;-67,77;"A307-UL531-SID DOZ-STAR DOZ- TMA DOZ"
"SALVU";"481605S-0640205W";-48,2680555555556;-64,0347222222222;"UW50-UT662"
"SAMTU";"385658S-0675538W";-38,9494444444444;-67,9272222222222;"IAC NEU"
"SANBU";"393019S-0623958W";-39,5052777777778;-62,6661111111111;"UT693-UW18-W18-T693-SID BCA- STAR BCA-TMA BCA"
"SARLI";"500101S-0713624W";-50,0169444444444;-71,6066666666667;"STAR ECA"
"SARNA";"290625S-0605933W";-29,1069444444444;-60,9925;"A307-UL531"
"SASTA";"524230S-0674547W";-52,7083333333333;-67,7630555555556;"W45-UW45"
"SATRA";"344417S-0674852W";-34,7380555555556;-67,8144444444444;"W68-SID SRA-TMA SRA"
"SEBDA";"273514S-0605714W";-27,5872222222222;-60,9538888888889;"UM529 UN775"
"SEBNI";"463138S-0705619W";-46,5272222222222;-70,9386111111111;"Z123- Z116"
"SEDIA";"254638S-0542241W";-25,7772222222222;-54,3780555555556;"IAC IGU"
"SEMGA";"410607S-0675633W";-41,1019444444444;-67,9425;"W33-UW33-T105-UT105"
"SEMLI";"314001S-0682502W";-31,6669444444444;-68,4172222222222;"IAC JUA"
"SIBOL";"302927S-0644043W";-30,4908333333333;-64,6786111111111;"W15-UW15-UM543-SID CBA-STAR CBA-TMA CBA-Z121"
"SIBOX";"301332S-0675652W";-30,2255555555556;-67,9477777777778;"UM799"
"SIBUD";"430339S-0653812W";-43,0608333333333;-65,6366666666667;"SID DRY"
"SIGAT";"312428S-0641224W";-31,4077777777778;-64,2066666666667;"IAC CBA"
"SIGEM";"365626S-0691014W";-36,9405555555556;-69,1705555555556;"UZ107-Z107-UT685"
"SIGUL";"381846S-0593921W";-38,3127777777778;-59,6558333333333;"UT662-UW32"
"SIGUR";"264556S-0650525W";-26,7655555555556;-65,0902777777778;"IAC TUC"
"SIKAR";"360737S-0604606W";-36,1269444444444;-60,7683333333333;"T654-UT654-UW15-W61-UZ113"
"SIKAV";"495433S-0713121W";-49,9091666666667;-71,5225;"STAR ECA"
"SIKED";"343642S-0581918W";-34,6116666666667;-58,3216666666667;"IAC AER"
"SIKOB";"301027S-0602433W";-30,1741666666667;-60,4091666666667;"UM400-UT652"
"SIKUT";"425516S-0654417W";-42,9211111111111;-65,7380555555556;"STAR TRE"
"SILAN";"425015S-0662350W";-42,8375;-66,3972222222222;"W38-STAR TRE-SID TRE DRY- TMA TRE"
"SILAV";"311514S-0640745W";-31,2538888888889;-64,1291666666667;"IAC CBA"
"SILOP";"353838S-0660510W";-35,6438888888889;-66,0861111111111;"UM783-UZ114"
"SILUS";"403532S-0622701W";-40,5922222222222;-62,4502777777778;"W33-SID VIE-TMA VIE"
"SIMES";"320306S-0633352W";-32,0516666666667;-63,5644444444444;"W15-W65-UW15-UT700-UZ114- UZ113-SID CBA-STAR CBA-TMA CBA"
"SIMOR";"272719S-0571215W";-27,4552777777778;-57,2041666666667;"UM402"
"SIMOT";"394835S-0680437W";-39,8097222222222;-68,0769444444444;"T654-UT654-T105-UT105"
"SINAL";"344622S-0643846W";-34,7727777777778;-64,6461111111111;"M424-UM424-UT688"
"SINIV";"330352S-0604917W";-33,0644444444444;-60,8213888888889;"IAC ROS"
"SINUT";"305634S-0605038W";-30,9427777777778;-60,8438888888889;"UL417"
"SIPOB";"450001S-0653634W";-45,0002777777778;-65,6094444444444;"UT700-T693"
"SIPOM";"330443S-0664926W";-33,0786111111111;-66,8238888888889;"UT670-UT652"
"SIPUG";"393657S-0704343W";-39,6158333333333;-70,7286111111111;"W44"
"SIPUR";"513051S-0685903W";-51,5141666666667;-68,9841666666667;"IAC GAL-STAR GAL"
"SIRAN";"380251S-0581135W";-38,0475;-58,1930555555556;"W32-SID MDP-STAR MDP-TMA MDP"
"SIREK";"323613S-0683919W";-32,6036111111111;-68,6552777777778;"IAC DOZ-STAR DOZ"
"SIRUR";"380127S-0572345W";-38,0241666666667;-57,3958333333333;"IAC MDP"
"SISAP";"284809S-0634721W";-28,8025;-63,7891666666667;"UL550-W70"
"SISEV";"242143S-0652026W";-24,3619444444444;-65,3405555555556;"STAR JUJ-IAC JUJ"
"SOLER";"320616S-0663044W";-32,1044444444444;-66,5122222222222;"A307-W19-UL531-UZ105"
"SORSI";"362745S-0582515W";-36,4625;-58,4208333333333;"W27-TMA DIL"
"SORTI";"274305S-0652534W";-27,7180555555556;-65,4261111111111;"W3-UW3-UZ108-SID CAT TUC- STAR CAT TUC-TMA CAT-TMA TUC"
"SOSKU";"371459S-0692607W";-37,2497222222222;-69,4352777777778;"Z122-UZ122 UT685"
"SOSNI";"263537S-0584032W";-26,5936111111111;-58,6755555555556;"STAR CRS SIS"
"SOTLA";"353806S-0662158W";-35,635;-66,3661111111111;"W65-B684-STAR MLG"
"SOTSA";"292508S-0580440W";-29,4188888888889;-58,0777777777778;"UM400-UZ103-UZ120"
"SOVLI";"271643S-0610254W";-27,2786111111111;-61,0483333333333;"UN775-UZ120"
"SUCUA";"325530S-0683522W";-32,925;-68,5894444444444;"IAC DOZ-SID DOZ"
"SUGRA";"321234S-0581124W";-32,2094444444445;-58,19;"UM534"
"SUKPA";"295636S-0642934W";-29,9433333333333;-64,4927777777778;"W5-Z102-UN525-UW5-UZ102"
"SULBO";"273535S-0592453W";-27,5930555555556;-59,4147222222222;"IAC SIS STAR SIS CRS"
"SULSO";"312233S-0675611W";-31,3758333333333;-67,9363888888889;"UM529-UZ108"
"SULSU";"504640S-0715027W";-50,7777777777778;-71,8408333333333;"B432-N674-SID ECA-STAR ECA- TMA ECA"
"SULVU";"244134S-0645546W";-24,6927777777778;-64,9294444444444;"STAR JUJ-IAC JUJ"
"SUMTO";"513247S-0693933W";-51,5463888888889;-69,6591666666667;"IAC GAL-STAR GAL"
"SUNKO";"514130S-0680504W";-51,6916666666667;-68,0844444444444;"W54-UW54"
"SUPKU";"431141S-0645345W";-43,1947222222222;-64,8958333333333;"STAR TRE"
"SURBO";"342658S-0575738W";-34,4494444444444;-57,9605555555556;"TMA BAIRES (CORREDOR SURBO)-SID AER-STAR AER"
"SURLI";"344531S-0583304W";-34,7586111111111;-58,5511111111111;"IAC EZE"
"SUSDA";"425842S-0613349W";-42,9783333333333;-61,5636111111111;"UT662"
"TAGUA";"251747S-0643608W";-25,2963888888889;-64,6022222222222;"T672-TMA SAL"
"TEDAR";"352658S-0574302W";-35,4494444444444;-57,7172222222222;"W59-SID AER EZE-TMA BAIRES"
"TEGAV";"251315S-0643328W";-25,2208333333333;-64,5577777777778;"W4-Z118-Z132-STAR SAL-TMA SAL"
"TEGOP";"410418S-0712306W";-41,0716666666667;-71,385;"IAC BAR"
"TENIL";"353228S-0575002W";-35,5411111111111;-57,8338888888889;"W31-UW31-STAR AER EZE-TMA BAIRES"
"TENOV";"375904S-0572827W";-37,9844444444444;-57,4741666666667;"IAC MDP"
"TEPES";"425527S-0651453W";-42,9241666666667;-65,2480555555556;"IAC DRY"
"TERON";"323008S-0661603W";-32,5022222222222;-66,2675;"UL531"
"TESEX";"385552S-0712601W";-38,9311111111111;-71,4336111111111;"B556-UL653"
"TESIT";"323928S-0635821W";-32,6577777777778;-63,9725;"W65-UZ114"
"TIGDI";"283558S-0570202W";-28,5994444444444;-57,0338888888889;"UM402-UT682"
"TIKLA";"282900S-0611300W";-28,4833333333333;-61,2166666666667;"UM529"
"TIMDO";"383443S-0662616W";-38,5786111111111;-66,4377777777778;"UT669"
"TIMKO";"271017S-0584310W";-27,1713888888889;-58,7194444444444;"IAC CRS STAR CRS SIS"
"TIMKU";"362011S-0634441W";-36,3363888888889;-63,7447222222222;"W73-SID OSA-TMA OSA"
"TIMVA";"340052S-0621746W";-34,0144444444444;-62,2961111111111;"UT684"
"TINLU";"282858S-0654329W";-28,4827777777778;-65,7247222222222;"IAC CAT SID CAT"
"TINTA";"325616S-0601112W";-32,9377777777778;-60,1866666666667;"G680-SID ROS-STAR ROS-TMA ROS"
"TIPLO";"322026S-0615436W";-32,3405555555556;-61,91;"W5-UW5-UZ102"
"TIRDU";"275524S-0642412W";-27,9233333333333;-64,4033333333333;"IAC SDE"
"TIRGA";"514425S-0670133W";-51,7402777777778;-67,0258333333333;"UW54-UT700"
"TIRVI";"312503S-0640636W";-31,4175;-64,11;"IAC CBA"
"TISLA";"430442S-0660425W";-43,0783333333333;-66,0736111111111;"SID DRY"
"TITMA";"255021S-0542658W";-25,8391666666667;-54,4494444444444;"SID IGU"
"TOBTO";"545033S-0681125W";-54,8425;-68,1902777777778;"IAC USU"
"TODAR";"325549S-0684740W";-32,9302777777778;-68,7944444444444;"IAC DOZ"
"TODEP";"271656S-0585904W";-27,2822222222222;-58,9844444444444;"IAC SIS"
"TODES";"302945S-0584914W";-30,4958333333333;-58,8205555555556;"A428-Z110-UL793-UT682"
